Average of Fitness → Fitness,Generation ID: 8 bins,Request ID
20.18,1,019ad609-b22d-7ca0-9b02-4d1515be0d4b
30.51,2,019ad609-b22d-7ca0-9b02-4d1515be0d4b
23.5,3,019ad609-b22d-7ca0-9b02-4d1515be0d4b
24.61,4,019ad609-b22d-7ca0-9b02-4d1515be0d4b
16.96,5,019ad609-b22d-7ca0-9b02-4d1515be0d4b
56.75,6,019ad609-b22d-7ca0-9b02-4d1515be0d4b
18.96,7,019ad609-b22d-7ca0-9b02-4d1515be0d4b
14.2,8,019ad609-b22d-7ca0-9b02-4d1515be0d4b
45.58,9,019ad609-b22d-7ca0-9b02-4d1515be0d4b
18.63,10,019ad609-b22d-7ca0-9b02-4d1515be0d4b
33.85,11,019ad609-b22d-7ca0-9b02-4d1515be0d4b
39.67,12,019ad609-b22d-7ca0-9b02-4d1515be0d4b
12.79,13,019ad609-b22d-7ca0-9b02-4d1515be0d4b
24.11,14,019ad609-b22d-7ca0-9b02-4d1515be0d4b
11.71,15,019ad609-b22d-7ca0-9b02-4d1515be0d4b
27.01,16,019ad609-b22d-7ca0-9b02-4d1515be0d4b
12.6,17,019ad609-b22d-7ca0-9b02-4d1515be0d4b
23.62,18,019ad609-b22d-7ca0-9b02-4d1515be0d4b
12.47,19,019ad609-b22d-7ca0-9b02-4d1515be0d4b
40.84,20,019ad609-b22d-7ca0-9b02-4d1515be0d4b
25.28,21,019ad609-b22d-7ca0-9b02-4d1515be0d4b
11.29,22,019ad609-b22d-7ca0-9b02-4d1515be0d4b
21.81,23,019ad609-b22d-7ca0-9b02-4d1515be0d4b
15.99,24,019ad609-b22d-7ca0-9b02-4d1515be0d4b
10.63,25,019ad609-b22d-7ca0-9b02-4d1515be0d4b
59.16,26,019ad609-b22d-7ca0-9b02-4d1515be0d4b
45.02,27,019ad609-b22d-7ca0-9b02-4d1515be0d4b
42.99,28,019ad609-b22d-7ca0-9b02-4d1515be0d4b
15.92,29,019ad609-b22d-7ca0-9b02-4d1515be0d4b
37.1,30,019ad609-b22d-7ca0-9b02-4d1515be0d4b
48.19,31,019ad609-b22d-7ca0-9b02-4d1515be0d4b
27.58,32,019ad609-b22d-7ca0-9b02-4d1515be0d4b
37.36,33,019ad609-b22d-7ca0-9b02-4d1515be0d4b
25.83,34,019ad609-b22d-7ca0-9b02-4d1515be0d4b
10.37,35,019ad609-b22d-7ca0-9b02-4d1515be0d4b
27.1,36,019ad609-b22d-7ca0-9b02-4d1515be0d4b
26.56,37,019ad609-b22d-7ca0-9b02-4d1515be0d4b
13.24,38,019ad609-b22d-7ca0-9b02-4d1515be0d4b
47.14,39,019ad609-b22d-7ca0-9b02-4d1515be0d4b
12.38,40,019ad609-b22d-7ca0-9b02-4d1515be0d4b
12.61,41,019ad609-b22d-7ca0-9b02-4d1515be0d4b
24.66,42,019ad609-b22d-7ca0-9b02-4d1515be0d4b
21.43,43,019ad609-b22d-7ca0-9b02-4d1515be0d4b
28.1,44,019ad609-b22d-7ca0-9b02-4d1515be0d4b
26.77,45,019ad609-b22d-7ca0-9b02-4d1515be0d4b
26.4,46,019ad609-b22d-7ca0-9b02-4d1515be0d4b
50.82,47,019ad609-b22d-7ca0-9b02-4d1515be0d4b
22.71,48,019ad609-b22d-7ca0-9b02-4d1515be0d4b
27.5,49,019ad609-b22d-7ca0-9b02-4d1515be0d4b
30.8,50,019ad609-b22d-7ca0-9b02-4d1515be0d4b
23.83,51,019ad609-b22d-7ca0-9b02-4d1515be0d4b
33.96,52,019ad609-b22d-7ca0-9b02-4d1515be0d4b
37.52,53,019ad609-b22d-7ca0-9b02-4d1515be0d4b
20.67,54,019ad609-b22d-7ca0-9b02-4d1515be0d4b
14.63,55,019ad609-b22d-7ca0-9b02-4d1515be0d4b
9.88,56,019ad609-b22d-7ca0-9b02-4d1515be0d4b
11.82,57,019ad609-b22d-7ca0-9b02-4d1515be0d4b
29.45,58,019ad609-b22d-7ca0-9b02-4d1515be0d4b
47.54,59,019ad609-b22d-7ca0-9b02-4d1515be0d4b
20.65,60,019ad609-b22d-7ca0-9b02-4d1515be0d4b
70.05,61,019ad609-b22d-7ca0-9b02-4d1515be0d4b
24.03,62,019ad609-b22d-7ca0-9b02-4d1515be0d4b
22.86,63,019ad609-b22d-7ca0-9b02-4d1515be0d4b
57.19,64,019ad609-b22d-7ca0-9b02-4d1515be0d4b
13.26,65,019ad609-b22d-7ca0-9b02-4d1515be0d4b
12.3,66,019ad609-b22d-7ca0-9b02-4d1515be0d4b
